,product_name,shopify_product_id,product_type,product_description,image,shopify_sku,price
0,Ken Forrester T Noble Late Harvest 2018 375ML,8596086489407,Dessert Wine,Ken Forrester T Noble Late Harvest 2018,https://cdn.shopify.com/s/files/1/0684/6336/2367/products/KenForresterTNobleLateHarvest_375ML_540x_87316b82-a101-43cb-8bc9-07674d847b59.webp?v=1690800418,,45.0000000000
1,Imako Constellation Chardonnay 2019,8596086784319,White Wine,<strong>Grape Varietals &amp; Region:</strong> 100% Chardonnay from Pvardarie region in North Macedonia,https://cdn.shopify.com/s/files/1/0684/6336/2367/products/ImakoConstellationChardonnay-800x800.png?v=1690800420,,69.0000000000
2,Champagne Le Brun de Neuville Autolyse Noirs & Blancs Champagne Brut NV,8596087013695,Sparkling Wine,"eta charset=""utf-8"">
<h2 data-mce-fragment=""1"">Champagne Le Brun de Neuville Autolyse Noirs &amp; Blancs Champagne Brut NV</h2>
<p data-mce-fragment=""1""><meta charset=""utf-8""><span>At the end of the fermentation and during the ageing on lees in bottle, the yeast gradually die. The phenomenon of Autolyse takes place; some microorganism are released, they interact with the wine and provide power and complexity. </span><span>Autolyse cuvees, from selected plots and raised for a decade on lees, celebrates Time and its imprint on the wine.</span>",https://cdn.shopify.com/s/files/1/0684/6336/2367/products/LeBrunAutolyse-800x800.png?v=1690800423,,120.0000000000
3,Champagne Le Brun de Neuville Millesime Extra Brut 2009,8596087308607,Sparkling Wine,"eta charset=""utf-8"">
<h2 data-mce-fragment=""1"">Champagne Le Brun de Neuville Millesime Extra Brut 2009</h2>
<p data-mce-fragment=""1"">A blend of a large majority of Chardonnay, supplemented by few drops of Pinot Noir and aged in our cellars for almost a decade.<br>",https://cdn.shopify.com/s/files/1/0684/6336/2367/products/LeBrunMillesime-800x800.png?v=1690800425,,112.0000000000
4,Champagne Le Brun de Neuville Cote Blanche Blanc de Blancs Brut NV 375ML,8596087472447,Sparkling Wine,"eta charset=""utf-8"">
<h2 data-mce-fragment=""1"">Champagne Le Brun de Neuville Cote Blanche Blanc de Blancs Brut NV 375ML</h2>
<p data-mce-fragment=""1"">""Côte"" cuvées interpret the chalky minerality of the Côte de Sézanne, blessed by long lees age.",https://cdn.shopify.com/s/files/1/0684/6336/2367/products/LeBrunCoteBlanche-800x800.png?v=1690800427,,46.0000000000
5,Champagne Le Brun de Neuville Cote Blanche Blanc de Blancs Brut NV,8596087701823,Sparkling Wine,"eta charset=""utf-8"">
<h2 data-mce-fragment=""1"">Champagne Le Brun de Neuville Cote Blanche Blanc de Blancs Brut NV 375ML</h2>
<p data-mce-fragment=""1"">""Côte"" cuvées interpret the chalky minerality of the Côte de Sézanne, blessed by long lees age.",https://cdn.shopify.com/s/files/1/0684/6336/2367/products/LeBrunCoteBlanche-800x800_3136beda-7afb-4816-a962-046c187514a9.png?v=1690800430,,92.0000000000
6,Hendry Ranch Cabernet Sauvignon 2018,8596087898431,Red Wine,"Grape Varietals &amp; Region: 100% Cabernet Sauvignon. The vines grow on thin, stony soil between 150 and 300 feet above sea level. Morning fog and strong afternoon breezes from San Pablo Bay moderate our vineyard’s climate. Sourced from old vines on the Hendry Ranch<br data-mce-fragment=""1"">",https://cdn.shopify.com/s/files/1/0684/6336/2367/products/HendryCabSauv-800x800.png?v=1690800432,,118.0000000000
7,Hendry Ranch Red Blend 2018,8596087996735,Red Wine,"<strong>Grape Varietals &amp; Region:</strong> 48% Cabernet Sauvignon, 13% of each Petit Verdot, Cabernet Franc, Malbec, and Merlot. The Hendry Vineyard is located on benchlands west of the town of Napa. The vines grow on thin, stony and clay soils, between 200 and 300 feet above sea level. Morning fog and strong afternoon breezes from San Pablo Bay moderate our climate. Our vineyard is the sole source for grapes for all of our wines. It has been home to the Hendry family since 1939.",https://cdn.shopify.com/s/files/1/0684/6336/2367/products/HendryRed-800x800.png?v=1690800435,,90.0000000000
8,Hendry Ranch Cabernet Franc 2019,8596088095039,Red Wine,The Cab Franc is done in selected vintages where the quality of the must is too good to be blended with the Cabernet Sauvignon for the Red Blend,https://cdn.shopify.com/s/files/1/0684/6336/2367/products/HendryCabFranc-800x800.png?v=1690800437,,90.0000000000
9,Hendry Ranch Barrel Fermented Chardonnay 2020,8596088258879,White Wine,"<strong>Grape Varietals &amp; Region:</strong> 100% Chardonnay from 40 year old vines planted in Mt. Veeder, slightly west of Napa. The elevation is between 200 and 220 feet above sea level. The soil is thin loam on a solid rock base. Morning fog and afternoon breezes from the San Pablo Bay moderate the climate, giving them long, warm summer days and cooler nights. <br data-mce-fragment=""1"">",https://cdn.shopify.com/s/files/1/0684/6336/2367/products/Hendry-800x800_c300c380-fc21-4e03-a124-c6a51594bd90.png?v=1690800439,,78.0000000000
10,Peay Vineyards Cep Wines Pinot Noir 2021,8596088455487,Red Wine,"The Cep label is a second label from Peay Vineyards, made solely from barrels of Peay Vineyards’ estate wines that through the blending process were not selected for the first label, or are from the Hopkins vineyard in the Russian River Valley.",https://cdn.shopify.com/s/files/1/0684/6336/2367/products/PeayPN-800x800.png?v=1690800442,,76.0000000000
11,Grounded Wine Co. Landform Pinot Noir Willamette Valley 2020,8596088684863,Red Wine,"A Landform is a natural and exceptional feature of the solid surface of the Earth. In our world, Landform is a reaffirmation of our commitment to creating wines that evoke a sense of place.<br data-mce-fragment=""1"">",https://cdn.shopify.com/s/files/1/0684/6336/2367/products/GroundedWineCo.LandformPinotNoirWillametteValley.png?v=1690800444,,63.0000000000
12,Domaine Altugnac Orange is the New Wine 2020,8596088947007,Orange Wine,"Childhood friends Christian Collovray and Jean-Luc Terrier each grew up in a family of winemakers and shared a bond from a young age. Following the success of Domaine des Deux Roches, in 1997 Christian and Jean-Luc branched out from Mâcon and purchased land in the southwest of the Languedoc in Limoux. ",https://cdn.shopify.com/s/files/1/0684/6336/2367/products/Domaine-Altugnac-Orange-Is-The-New-Wine.jpg?v=1690800446,,54.0000000000
13,Chateau Haut-Bages Liberal Ceres Haut-Medoc 2020,8596089143615,Red Wine,"<meta charset=""utf-8""><span>CERES comes from a plot of eight hectares cultivated with a method called agroecology and agroforestry. Haut Bages Liberal has been experimenting for some time with alternative, more sustainable practices for managing the vineyard. Claire Villars-Lurton, the owner, described it as organic and then one step further. This means that you plant trees – carefully selected varieties – in the vineyard and that you have a cover crop. The trees and cover crops promote and regenerate the microbiological life in the soil and, not least, bind carbon dioxide.</span>",https://cdn.shopify.com/s/files/1/0684/6336/2367/products/Ceres_de_haut-bages_liberal_haut_medoc.png?v=1690800449,,75.0000000000
14,Château St Thomas Pinot Noir 2017,8596089372991,Red Wine,"<strong>Grape Varietals &amp; Region: </strong>100% Pinot Noir, selected from more than 15-year-old vines located at an altitude of 1200m<br data-mce-fragment=""1"">",https://cdn.shopify.com/s/files/1/0684/6336/2367/products/Chateau-St-Thomas-Pinot-Noir.jpg?v=1690800451,,56.0000000000
15,Szászi Badacsonyi Olaszrizling 2021,8596089536831,White Wine,"<strong>Grape Varietals &amp; Region:</strong> 100% Olaszrizling, also known in the Carpathian Basin as Italian Riesling or Weiss Riesling. The Badacsonyi Italian Riesling is the estate's entry-level Italian Riesling, in the name of which Badacsony does not denote the mountain, but the wine region.",https://cdn.shopify.com/s/files/1/0684/6336/2367/products/SzasziOlaszrizling-800x800.png?v=1690800453,,54.0000000000
16,Grof Buttler Egri Kadarka Superior 2016,8596089831743,Red Wine,"<strong>Grape Varietals &amp; Region:</strong> 100% Kadarka, from Nagy-Eged, in Eger, Hungary.",https://cdn.shopify.com/s/files/1/0684/6336/2367/products/GrofButtlerEgriKadarkaSuperior2016.png?v=1690800456,,70.0000000000
17,Szentesi Pince Mandula Sparkling Riesling 2017,8596089995583,Sparkling Wine,"<strong>Grape Varietals &amp; Region:</strong> 100% Riesling from Etyek-Buda, just outside Budapest, Hungary",https://cdn.shopify.com/s/files/1/0684/6336/2367/products/SzentesiPinceMandulaSparklingRiesling.webp?v=1690800459,,59.0000000000
18,Hendry Ranch Pinot Noir 2020,8596090192191,Red Wine,Hendry Ranch Pinot Noir 2020,https://cdn.shopify.com/s/files/1/0684/6336/2367/products/HendryRanchPinotNoir.png?v=1690800461,,78.0000000000
19,Hendry Ranch Primitivo 2020,8596090388799,Red Wine,"Primitivo's roots go back hundreds of years to Croatia, where it originated along with its more familiar genetic twin: Zinfandel. Zinfandel and Primitivo share common parentage. Essentially synonymous, Primitivo is now associated with Puglia, Italy, where it is commonly grown, and Zinfandel with California.",https://cdn.shopify.com/s/files/1/0684/6336/2367/products/HendryRanchPrimitivo.png?v=1690800463,,82.0000000000
20,Hendry Ranch Block 28 Zinfandel 2019,8596090552639,Red Wine,"<strong>Grape Varietals &amp; Region:</strong> 100% Zinfandel. Hendry Block 28 is located on bench lands west of the town of Napa. This 4.17-acre block is 160 feet above sea level and has thin, stony soils. Morning fog and strong afternoon breezes from San Pablo Bay moderate the maritime climate. The vines were planted in 1998 using St. George roots and grafted with budwood selected from an old-vine Zinfandel vineyard on Mt. Veeder called the Brandlin Ranch.",https://cdn.shopify.com/s/files/1/0684/6336/2367/products/HendryBlock28-800x800.png?v=1690800466,,82.0000000000
21,Guiseppe Campagnola Vigneti Foscarino Le Bine Soave Classico DOC 2021,8596090749247,White Wine,"<strong>Grape Varietals &amp; Region: </strong>Garganega 70%; Trebbiano 30%. The fruit comes from “Monte Foscarino” single hilly vineyards, in the hearth of the Soave Classico Area. ",https://cdn.shopify.com/s/files/1/0684/6336/2367/products/CampagnolaSoave-800x800.png?v=1690800468,,45.0000000000
22,Imako DW Muskat White 2021,8596090978623,Fortified Wine,"<meta charset=""utf-8""><span>Sweet (fortified) wine produced from Muscat Ottonel variety</span>",https://cdn.shopify.com/s/files/1/0684/6336/2367/products/ImakoMuscat-800x800.png?v=1690800471,,48.0000000000
23,Imako Constellation Cuvee Red 2019,8596091207999,Red Wine,"<strong>Grape Varietals &amp; Region:</strong> Blend of Vranec, Cabernet Sauvignon and Merlot, from Pvardarie region in North Macedonia",https://cdn.shopify.com/s/files/1/0684/6336/2367/products/ImakoConstellationCuveeRed-800x800.png?v=1690800473,,68.0000000000
24,Imako Majestic Pinot Rose 2019,8596091437375,Rose Wine,<strong>Grape Varietals &amp; Region:</strong> 100% Pinot Noir from Pvardarie region in North Macedonia,https://cdn.shopify.com/s/files/1/0684/6336/2367/products/ImakoMajesticRose-800x800.png?v=1690800475,,36.0000000000
25,Tiwari Unwritten Poem Blaufrankisch 2019,8596091535679,Red Wine,,,,46.0000000000
26,Tiwari Unwritten Poem Pet Nat Olaszrizling Blanc Brut Nature 2020,8596091666751,Sparkling Wine,"<strong>Grape Varietals &amp; Region:</strong> 100% <meta charset=""utf-8""><span data-mce-fragment=""1"">Olaszrizling from Badacsony, Hungary. Volcanic soils</span>",https://cdn.shopify.com/s/files/1/0684/6336/2367/products/TiwariUnwrittenPoemPetNatOlaszrizlingBlancBrutNature.png?v=1690800478,,44.0000000000
27,BoundbyWine x Brownworkglov3: A Tasting of Chateau Aurora,8596091863359,Event Tickets,Hey BBRC fam &amp; friends!,https://cdn.shopify.com/s/files/1/0684/6336/2367/products/image_1bc23aa3-b94d-4e11-a3be-b879b5c53f41.jpg?v=1690800481,,45.0000000000
